branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	child_label	parent_label	diet_transition
branch_77	335	338	1.3145048	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node338	Node335	0
branch_78	338	339	3.1891180132	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node339	Node338	0
branch_79	339	36	18.9834802347	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Vespertilio_murinus	Node339	0
branch_80	339	340	5.810465212	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node340	Node339	0
branch_81	340	341	0.3892760198	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node341	Node340	0
branch_82	341	342	1.004009007	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node342	Node341	0
branch_83	342	343	5.4809415927	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node343	Node342	0
branch_84	343	37	6.298790736	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Nyctalus_aviator	Node343	0
branch_85	343	38	6.2987913364	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Nyctalus_leisleri	Node343	0
branch_86	342	39	11.7797326618	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Pipistrellus_abramus	Node342	0
branch_87	341	344	9.222789976	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node344	Node341	0
branch_88	344	40	3.560951692	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Pipistrellus_pipistrellus	Node344	0
branch_89	344	41	3.560950359	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Pipistrellus_pygmaeus	Node344	0
branch_90	340	42	13.1730180264	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Pipistrellus_nathusii	Node340	0
branch_91	338	345	2.5927054504	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node345	Node338	0
branch_92	345	43	19.579895795	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Ia_io	Node345	0
branch_93	345	44	19.579895462	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Eptesicus_fuscus	Node345	0
branch_94	327	346	29.08104531654	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node346	Node327	0
branch_95	346	347	1.7027463877	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node347	Node346	0
branch_96	347	348	0.4459977959	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node348	Node347	0
branch_97	348	45	13.636178465	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Tadarida_brasiliensis	Node348	0
branch_98	348	46	13.63617643056	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Molossus_molossus	Node348	0
branch_99	347	47	14.08217526	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Tadarida_teniotis	Node347	0
branch_100	346	48	15.78492038114	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Mops_condylurus	Node346	0
branch_101	326	349	31.612794197	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node349	Node326	0
branch_102	349	350	14.698568662	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Node350	Node349	0
branch_103	350	49	8.271906763	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Saccopteryx_bilineata	Node350	0
branch_104	350	50	8.271906763	1	1	0	0	0	0	0	1	1	Insectivore	Insectivore	Insectivore	Saccopteryx_leptura	Node350	0
