branch_id	parent_node	child_node	branch_length	parent_CN	child_CN	delta_CN	gain_count	loss_count	gain_event	loss_event	starting_CN	ending_CN	parent_diet	child_diet	diet_state	diet_binary	stable_diet_branch	child_label	parent_label
branch_295	364	146	4.118282365	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Marmota_monax	Node364
branch_296	364	147	4.1182822223	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Marmota_flaviventris	Node364
branch_297	359	148	65.022293167	1	0	-1	0	1	0	1	1	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Ctenodactylus_gundi	Node359
branch_298	358	365	6.126869	2	1	-1	0	1	0	1	2	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node365	Node358
branch_299	365	366	15.21576094	1	1	0	0	0	0	0	1	1	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node366	Node365
branch_300	366	149	50.6476181985	1	0	-1	0	1	0	1	1	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Geomys_bursarius	Node366
branch_301	366	367	46.14728732	1	0	-1	0	1	0	1	1	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node367	Node366
branch_302	367	150	4.500339744	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Castor_fiber	Node367
branch_303	367	151	4.500339744	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Castor_canadensis	Node367
branch_304	365	368	3.60664	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node368	Node365
branch_305	368	369	5.416504	1	1	0	0	0	0	0	1	1	Non_plant	Non_plant	Non_plant	Non_plant	1	Node369	Node368
branch_306	369	370	43.265931858	1	0	-1	0	1	0	1	1	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node370	Node369
branch_307	370	152	13.5742892659	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Myospalax_psilurus	Node370
branch_308	370	153	13.5742889905	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Eospalax_fontanierii	Node370
branch_309	369	371	5.198225	1	0	-1	0	1	0	1	1	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node371	Node369
branch_310	371	372	0.393154566	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node372	Node371
branch_311	372	373	7.2582871	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node373	Node372
branch_312	373	374	41.131625309	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node374	Node373
branch_313	374	154	2.858926277879	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Acomys_cahirinus	Node374
branch_314	374	155	2.85892619702	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Acomys_minous	Node374
branch_315	373	156	43.9905504947	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Meriones_unguiculatus	Node373
branch_316	372	375	21.848626785	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node375	Node372
branch_317	375	376	1.5600527998	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node376	Node375
branch_318	376	377	1.251431303	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node377	Node376
branch_319	377	378	6.2160063513	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node378	Node377
branch_320	378	157	20.372727201	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Apodemus_agrarius	Node378
branch_321	378	158	20.372724599	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Tokudaia_muenninki	Node378
branch_322	377	379	22.0641756989	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node379	Node377
branch_323	379	159	4.52455134	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Mus_spretus	Node379
branch_324	379	160	4.5245529687	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Mus_musculus	Node379
branch_325	376	161	27.8401615987	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Arvicanthis_niloticus	Node376
branch_326	375	162	29.4002127694	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Rattus_norvegicus	Node375
branch_327	371	380	16.35739878	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node380	Node371
branch_328	380	381	3.357085853	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node381	Node380
branch_329	381	382	18.1966555168	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Node382	Node381
branch_330	382	163	13.7308551214	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Lemmus_lemmus	Node382
branch_331	382	383	3.2361043564	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node383	Node382
branch_332	383	164	10.494752683	0	0	0	0	0	0	0	0	0	Plant_dominant	Non_plant	Non_plant	Non_plant	0	Chionomys_nivalis	Node383
branch_333	383	384	4.102503599	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node384	Node383
branch_334	384	385	1.79532661	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Node385	Node384
branch_335	385	165	4.596922228	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Microtus_pennsylvanicus	Node385
branch_336	385	166	4.5969211041	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Microtus_oregoni	Node385
branch_337	384	167	6.392249358	0	0	0	0	0	0	0	0	0	Plant_dominant	Plant_dominant	Plant_dominant	Plant_dominant	1	Microtus_californicus	Node384
branch_338	381	386	8.751911979	0	0	0	0	0	0	0	0	0	Non_plant	Non_plant	Non_plant	Non_plant	1	Node386	Node381
branch_339	386	168	23.1756014787	0	0	0	0	0	0	0	0	0	Non_plant	Plant_dominant	Plant_dominant	Plant_dominant	0	Cricetus_cricetus	Node386
