analysis	n_branches	plant_branches	nonplant_branches	plant_time	nonplant_time	plant_gain	nonplant_gain	plant_loss	nonplant_loss	plant_gain_events	nonplant_gain_events	plant_loss_events	nonplant_loss_events	plant_gain_rate	nonplant_gain_rate	gain_rate_ratio	gain_rate_ratio_corrected	gain_poisson_p	gain_poisson_low95	gain_poisson_high95	gain_fisher_or	gain_fisher_p	plant_loss_rate	nonplant_loss_rate	loss_rate_ratio	loss_rate_ratio_corrected	loss_poisson_p	loss_poisson_low95	loss_poisson_high95	loss_fisher_or	loss_fisher_p
remove_Cingulata_all_branches	587	229	358	2167.94419997928	3808.8266874867	53	7	39	17	25	1	33	17	0.0244471236854281	0.00183783631400121	13.3021224464781	12.5324398898266	8.08676590646857e-17	6.02671522580812	34.6817731406826	43.5508694402802	4.39729785631527e-10	0.0179893929005981	0.00446331676257437	4.03049881008716	3.9655383897048	4.65228995798273e-07	2.22727482652836	7.59825956061888	3.36991781016569	6.31565299564034e-05
remove_Cingulata_stable_branches	530	213	317	1891.33179831665	3168.6921967947	52	0	39	12	24	0	33	12	0.0274938538263259	0	Inf	175.914496313957	5.97018368931461e-23	22.7890239726845	Inf	Inf	1.39124322442078e-10	0.0206203903697444	0.00378705133055796	5.4449725049558	5.29418865097241	1.63851404897171e-08	2.79312165426305	11.4229041886612	4.6458181258229	4.02162694652077e-06
remove_Dermoptera_all_branches	587	228	359	2098.94054897928	3876.2995039087	53	7	38	17	25	1	32	17	0.0252508342962711	0.00180584601188363	13.9828280651309	13.1737587682806	1.66591324279256e-17	6.33511856014323	36.4565333668565	43.8869809460873	3.92753903584826e-10	0.0181043717595906	0.00438562602886023	4.12811572178115	4.06293494722671	5.20551534180945e-07	2.27431388431086	7.79971558974711	3.27753408304482	0.000104202469200226
remove_Dermoptera_stable_branches	530	212	318	1822.32814731665	3236.1650132167	52	0	38	12	24	0	32	12	0.0285349266412689	0	Inf	186.463303487958	8.77973965862362e-24	24.1555800246798	Inf	Inf	1.23448342448605e-10	0.0208524463916965	0.00370809274279626	5.62349645439874	5.46959023564678	1.55525843158248e-08	2.8767239361877	11.8206839743802	4.52000086604457	7.1119545378725e-06
remove_Eulipotyphla_all_branches	571	229	342	2167.94419997928	3575.77572106296	53	7	39	15	25	1	33	15	0.0244471236854281	0.00195761718464802	12.4882044748824	11.7656165430025	5.6810569361508e-16	5.65795814574732	32.5596968660443	41.5992397864995	8.76513637334754e-10	0.0179893929005981	0.00419489396710289	4.28840229137473	4.2032727173524	3.32622229548141e-07	2.31134174718517	8.37394069071311	3.66185338631486	4.11889925692179e-05
remove_Eulipotyphla_stable_branches	517	213	304	1891.33179831665	3022.64536201946	52	0	39	10	24	0	33	10	0.0274938538263259	0	Inf	167.806496614989	2.73778106140645e-22	21.7386648301353	Inf	Inf	2.55925692625453e-10	0.0206203903697444	0.00330836032756383	6.23281273141386	6.01211484470934	6.50716888098536e-09	3.05535930605185	14.0013226021517	5.37248009398796	1.08115056180184e-06
remove_Hyracoidea_all_branches	587	228	359	2122.84811571528	3876.2995039087	53	7	39	17	25	1	33	17	0.0249664587907374	0.00180584601188363	13.8253531178417	13.0253955789478	2.3914474389117e-17	6.26377230195553	36.0459590078248	43.8869809460873	3.92753903584826e-10	0.0183715451479011	0.00438562602886023	4.18903596134384	4.12152036343207	3.12539465227424e-07	2.31488328957512	7.89713235081412	3.39707100392147	5.9244173038776e-05
remove_Hyracoidea_stable_branches	530	212	318	1846.23571405265	3236.1650132167	52	0	39	12	24	0	33	12	0.0281654176680698	0	Inf	184.048723465471	1.3531584496818e-23	23.8427807774921	Inf	Inf	1.23448342448605e-10	0.0211240632510524	0.00370809274279626	5.69674620250269	5.538990153818	9.00040736411458e-09	2.92227466026116	11.9510954369522	4.68697528197866	3.87256422909022e-06
remove_Lagomorpha_all_branches	567	208	359	1983.43023545256	3876.2995039087	26	7	30	17	17	1	27	17	0.0131086032345713	0.00180584601188363	7.25898174501497	6.90533904461681	1.59440270121267e-07	3.06862735237394	19.807895601703	31.7131607858659	3.10621474527556e-07	0.0151253114245054	0.00438562602886023	3.44883748066322	3.40613758804549	3.48863841721644e-05	1.8419545305917	6.66594214103516	2.99474913559774	0.000571221354864522
remove_Lagomorpha_stable_branches	510	192	318	1706.81783378993	3236.1650132167	25	0	30	12	16	0	27	12	0.0146471401370868	0	Inf	96.6971474088575	2.85070130402657e-12	11.9248772175295	Inf	Inf	1.08614338977674e-07	0.0175765681645041	0.00370809274279626	4.74005624553223	4.62629489563945	1.63253421472988e-06	2.35668606852707	10.1658440726897	4.16037320226424	4.48494221108262e-05
