species	PGA_CN	diet_state	contig_N50	gap_free	pass_N50	gap_free_norm	pass_gap	pass_quality_flag	pass_high_quality
Sus_scrofa	1	Plant_dominant	144930921	TRUE	TRUE	true	TRUE	TRUE	TRUE
Phacochoerus_africanus	1	Plant_dominant	10602503	TRUE	TRUE	true	TRUE	TRUE	TRUE
Camelus_dromedarius	1	Plant_dominant	31216184	TRUE	TRUE	true	TRUE	TRUE	TRUE
Equus_kiang	10	Plant_dominant	107027433	TRUE	TRUE	true	TRUE	TRUE	TRUE
Equus_caballus	10	Plant_dominant	99223387	TRUE	TRUE	true	TRUE	TRUE	TRUE
Tapirus_indicus	9	Plant_dominant	56553937	TRUE	TRUE	true	TRUE	TRUE	TRUE
Nyctereutes_procyonoides	1	Non_plant	35077230	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lycaon_pictus	1	Non_plant	39426608	TRUE	TRUE	true	TRUE	TRUE	TRUE
Canis_latrans	1	Non_plant	42015997	TRUE	TRUE	true	TRUE	TRUE	TRUE
Canis_aureus	1	Non_plant	56644425	TRUE	TRUE	true	TRUE	TRUE	TRUE
Canis_lupus	1	Non_plant	34375412	TRUE	TRUE	true	TRUE	TRUE	TRUE
Vulpes_ferrilata	1	Non_plant	52909674	TRUE	TRUE	true	TRUE	TRUE	TRUE
Vulpes_corsac	1	Non_plant	41624634	TRUE	TRUE	true	TRUE	TRUE	TRUE
Vulpes_vulpes	1	Non_plant	55675583	TRUE	TRUE	true	TRUE	TRUE	TRUE
Vulpes_lagopus	1	Non_plant	33460300	TRUE	TRUE	true	TRUE	TRUE	TRUE
Urocyon_cinereoargenteus	1	Non_plant	59386518	TRUE	TRUE	true	TRUE	TRUE	TRUE
Hydrurga_leptonyx	1	Non_plant	99454515	TRUE	TRUE	true	TRUE	TRUE	TRUE
Monachus_monachus	1	Non_plant	90875510	TRUE	TRUE	true	TRUE	TRUE	TRUE
Zalophus_californianus	1	Non_plant	60554208	TRUE	TRUE	true	TRUE	TRUE	TRUE
Arctocephalus_gazella	1	Non_plant	55559406	TRUE	TRUE	true	TRUE	TRUE	TRUE
Mephitis_mephitis	1	Non_plant	39934464	TRUE	TRUE	true	TRUE	TRUE	TRUE
Meles_meles	1	Non_plant	75210923	TRUE	TRUE	true	TRUE	TRUE	TRUE
Martes_flavigula	1	Non_plant	68603938	TRUE	TRUE	true	TRUE	TRUE	TRUE
Martes_foina	1	Non_plant	64160893	TRUE	TRUE	true	TRUE	TRUE	TRUE
Mustela_erminea	1	Non_plant	36329944	TRUE	TRUE	true	TRUE	TRUE	TRUE
Mustela_lutreola	1	Non_plant	83356672	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lutra_lutra	1	Non_plant	30403456	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ailuropoda_melanoleuca	1	Plant_dominant	28556066	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ursus_arctos	1	Plant_dominant	43943000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ursus_americanus	1	Plant_dominant	13882922	TRUE	TRUE	true	TRUE	TRUE	TRUE
Paguma_larvata	1	Non_plant	12856992	TRUE	TRUE	true	TRUE	TRUE	TRUE
Panthera_tigris	1	Non_plant	74391967	TRUE	TRUE	true	TRUE	TRUE	TRUE
Panthera_onca	1	Non_plant	42469011	TRUE	TRUE	true	TRUE	TRUE	TRUE
Panthera_pardus	1	Non_plant	22236240	TRUE	TRUE	true	TRUE	TRUE	TRUE
Panthera_leo	1	Non_plant	77781637	TRUE	TRUE	true	TRUE	TRUE	TRUE
Neofelis_nebulosa	1	Non_plant	51579577	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lynx_rufus	1	Non_plant	66217191	TRUE	TRUE	true	TRUE	TRUE	TRUE
Acinonyx_jubatus	1	Non_plant	96827784	TRUE	TRUE	true	TRUE	TRUE	TRUE
Puma_concolor	1	Non_plant	42297498	TRUE	TRUE	true	TRUE	TRUE	TRUE
Felis_chaus	1	Non_plant	91188488	TRUE	TRUE	true	TRUE	TRUE	TRUE
Felis_catus	1	Non_plant	149421202	TRUE	TRUE	true	TRUE	TRUE	TRUE
Prionailurus_viverrinus	1	Non_plant	68766634	TRUE	TRUE	true	TRUE	TRUE	TRUE
Prionailurus_bengalensis	1	Non_plant	82622880	TRUE	TRUE	true	TRUE	TRUE	TRUE
Manis_pentadactyla	1	Non_plant	25547713	TRUE	TRUE	true	TRUE	TRUE	TRUE
Manis_javanica	1	Non_plant	61244301	TRUE	TRUE	true	TRUE	TRUE	TRUE
Scaptochirus_moschatus	1	Non_plant	67659624	TRUE	TRUE	true	TRUE	TRUE	TRUE
Suncus_murinus	1	Non_plant	108479493	TRUE	TRUE	true	TRUE	TRUE	TRUE
Crocidura_zimmermanni	1	Non_plant	28351139	TRUE	TRUE	true	TRUE	TRUE	TRUE
Sorex_ornatus	1	Non_plant	19322863	TRUE	TRUE	true	TRUE	TRUE	TRUE
Sorex_fumeus	1	Non_plant	42400022	TRUE	TRUE	true	TRUE	TRUE	TRUE
Oryctolagus_cuniculus	16	Plant_dominant	138122305	TRUE	TRUE	true	TRUE	TRUE	TRUE
Sylvilagus_floridanus	17	Plant_dominant	34907720	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lepus_yarkandensis	12	Plant_dominant	126863262	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lepus_europaeus	10	Plant_dominant	43409466	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lepus_capensis	8	Plant_dominant	30546000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lepus_tolai	8	Plant_dominant	134987039	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lepus_castroviejoi	8	Plant_dominant	58008274	TRUE	TRUE	true	TRUE	TRUE	TRUE
Lepus_oiostolus	8	Plant_dominant	58464897	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ochotona_argentata	15	Plant_dominant	33442122	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ochotona_princeps	15	Plant_dominant	12191025	TRUE	TRUE	true	TRUE	TRUE	TRUE
Eliomys_quercinus	0	Non_plant	51740598	TRUE	TRUE	true	TRUE	TRUE	TRUE
Sciurus_carolinensis	0	Non_plant	13975867	TRUE	TRUE	true	TRUE	TRUE	TRUE
Sciurus_vulgaris	0	Non_plant	16333633	TRUE	TRUE	true	TRUE	TRUE	TRUE
Pteromys_volans	0	Non_plant	60698384	TRUE	TRUE	true	TRUE	TRUE	TRUE
Marmota_monax	0	Plant_dominant	10671126	TRUE	TRUE	true	TRUE	TRUE	TRUE
Marmota_flaviventris	0	Plant_dominant	52587502	TRUE	TRUE	true	TRUE	TRUE	TRUE
Ctenodactylus_gundi	0	Plant_dominant	38834406	TRUE	TRUE	true	TRUE	TRUE	TRUE
Geomys_bursarius	0	Plant_dominant	11757861	TRUE	TRUE	true	TRUE	TRUE	TRUE
Castor_fiber	0	Plant_dominant	48519000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Castor_canadensis	0	Plant_dominant	144908913	TRUE	TRUE	true	TRUE	TRUE	TRUE
Myospalax_psilurus	0	Non_plant	23106468	TRUE	TRUE	true	TRUE	TRUE	TRUE
Eospalax_fontanierii	0	Non_plant	59200000	TRUE	TRUE	true	TRUE	TRUE	TRUE
Acomys_cahirinus	0	Non_plant	57643754	TRUE	TRUE	true	TRUE	TRUE	TRUE
Acomys_minous	0	Non_plant	29281624	TRUE	TRUE	true	TRUE	TRUE	TRUE
Meriones_unguiculatus	0	Plant_dominant	50173090	TRUE	TRUE	true	TRUE	TRUE	TRUE
Apodemus_agrarius	0	Plant_dominant	35188814	TRUE	TRUE	true	TRUE	TRUE	TRUE
Tokudaia_muenninki	0	Plant_dominant	19740843	TRUE	TRUE	true	TRUE	TRUE	TRUE
