species	contig_N50	gap_free
Myotis_yumanensis	28025655	TRUE
Myrmecophaga_tridactyla	1101534	TRUE
Neofelis_nebulosa	51579577	TRUE
Neotoma_floridana	28556977	TRUE
Nomascus_leucogenys	102188915	TRUE
Nyctalus_aviator	61249120	TRUE
Nyctalus_leisleri	26125689	TRUE
Nyctereutes_procyonoides	35077230	TRUE
Nycticebus_bengalensis	19794679	TRUE
Nycticebus_coucang	41197715	TRUE
Ochotona_argentata	33442122	TRUE
Ochotona_princeps	12191025	TRUE
Ondatra_zibethicus	73746	TRUE
Onychomys_arenicola	29018958	TRUE
Onychomys_leucogaster	19200283	TRUE
Onychomys_torridus	2276141	TRUE
Orcinus_orca	45583382	TRUE
Orycteropus_afer	166734673	TRUE
Oryctolagus_cuniculus	138122305	TRUE
Otocyon_megalotis	616011	TRUE
Ovis_aries	103395564	TRUE
Ovis_canadensis	105224494	TRUE
Pachyuromys_duprasi	47150	TRUE
Paguma_larvata	12856992	TRUE
Pan_paniscus	147028407	TRUE
Pan_troglodytes	146288486	TRUE
Panthera_leo	77781637	TRUE
Panthera_onca	42469011	TRUE
Panthera_pardus	22236240	TRUE
Panthera_tigris	74391967	TRUE
Pantholops_hodgsonii	84561976	TRUE
Papio_anubis	1465768	TRUE
Papio_hamadryas	24989958	TRUE
Peponocephala_electra	57154926	TRUE
Peromyscus_eremicus	1332236	TRUE
Peromyscus_leucopus	4102727	TRUE
Phacochoerus_africanus	10602503	TRUE
Phoca_vitulina	283887	TRUE
Phocoena_phocoena	3726689	TRUE
Phocoena_sinus	20218762	TRUE
Phodopus_roborovskii	25775705	TRUE
Phodopus_sungorus	55879606	TRUE
Phyllostomus_discolor	15176516	TRUE
Phyllostomus_hastatus	31525663	TRUE
Pipistrellus_abramus	60509936	TRUE
Pipistrellus_nathusii	19092895	TRUE
Pipistrellus_pipistrellus	4446752	TRUE
Pipistrellus_pygmaeus	54047000	TRUE
Platyrrhinus_helleri	49393690	TRUE
Plecotus_auritus	2948753	TRUE
Pongo_abelii	146197178	TRUE
Pongo_pygmaeus	140592248	TRUE
Prionailurus_bengalensis	82622880	TRUE
Prionailurus_viverrinus	68766634	TRUE
Psammomys_obesus	76389	TRUE
Pseudomys_desertor	536677	TRUE
Pseudorca_crassidens	58817648	TRUE
Pteromys_volans	60698384	TRUE
Pteropus_alecto	31841	TRUE
Pteropus_pselaphon	394964	TRUE
Puma_concolor	42297498	TRUE
Rattus_norvegicus	64250101	TRUE
Rattus_rattus	1635336	TRUE
Rhabdomys_pumilio	45029	TRUE
Rhinolophus_affinis	65534120	TRUE
Rhinolophus_clivosus	68120538	TRUE
Rhinolophus_ferrumequinum	31900497	TRUE
Rhinolophus_hipposideros	2014157	TRUE
Rhinolophus_rex	75261663	TRUE
Rhinolophus_sinicus	42906106	TRUE
Rhinolophus_trifoliatus	11115074	TRUE
Rhinopithecus_bieti	5779005	TRUE
Rhinopithecus_roxellana	5723610	TRUE
Rhinopoma_microphyllum	33347918	TRUE
Rhynchocyon_petersi	13791435	TRUE
Rhynchomys_soricoides	79773	TRUE
Rhynchonycteris_naso	108301702	TRUE
Rousettus_aegyptiacus	21756723	TRUE
Rousettus_leschenaultii	86068516	TRUE
Rupicapra_rupicapra	77662214	TRUE
Saccopteryx_bilineata	20047694	TRUE
Saccopteryx_leptura	17619988	TRUE
Saguinus_midas	10987047	TRUE
Saguinus_oedipus	91852676	TRUE
Saimiri_boliviensis	69222429	TRUE
Salpingotus_crassicauda	13709620	TRUE
Scaptochirus_moschatus	67659624	TRUE
Sciurus_carolinensis	13975867	TRUE
Sciurus_vulgaris	16333633	TRUE
Scotinomys_teguina	1427988	TRUE
Scutisorex_somereni	3169756	TRUE
Sigmodon_hispidus	77390441	TRUE
Sorex_fumeus	42400022	TRUE
Sorex_ornatus	19322863	TRUE
Spermophilus_citellus	3445081	TRUE
Suncus_etruscus	5042816	TRUE
Suncus_murinus	108479493	TRUE
Sus_scrofa	144930921	TRUE
Sylvilagus_floridanus	34907720	TRUE
Symphalangus_syndactylus	146713733	TRUE
Tadarida_brasiliensis	86333355	TRUE
Tadarida_teniotis	53136000	TRUE
Talpa_europaea	3507589	TRUE
Talpa_occidentalis	2611709	TRUE
Tamandua_tetradactyla	9869167	TRUE
Tamias_sibiricus	9422552	TRUE
Tapirus_indicus	56553937	TRUE
Tenrec_ecaudatus	71825797	TRUE
Thomomys_bottae	6183328	TRUE
Tokudaia_muenninki	19740843	TRUE
Trachypithecus_francoisi	16182741	TRUE
Trachypithecus_germaini	55907425	TRUE
Trachypithecus_shortridgei	50335884	TRUE
Trichechus_inunguis	25109643	TRUE
Tupaia_tana	7425133	TRUE
Tursiops_truncatus	9729386	TRUE
Typhlomys_cinereus	1971523	TRUE
Urocyon_cinereoargenteus	59386518	TRUE
Uromys_caudimaculatus	49189	TRUE
Ursus_americanus	13882922	TRUE
Ursus_arctos	43943000	TRUE
Ursus_maritimus	206653	TRUE
Vespertilio_murinus	3319810	TRUE
Vulpes_corsac	41624634	TRUE
Vulpes_ferrilata	52909674	TRUE
Vulpes_lagopus	33460300	TRUE
Vulpes_vulpes	55675583	TRUE
Zalophus_californianus	60554208	TRUE
