Scientific	BodyMass-Value
Thomasomys popayanus	76.23
Thomasomys paramorum	77
Thomasomys oreas	77
Thomasomys onkiro	76.23
Thomasomys notatus	77
Thomasomys niveipes	77
Thomasomys monochromos	77
Thomasomys macrotis	76.23
Thomasomys laniger	35.5
Thomasomys taczanowskii	77
Thomasomys rhoadsi	77
Thomasomys ladewi	77
Thomasomys kalinowskii	77
Thomasomys gracilis	77
Thomasomys erro	76.23
Thomasomys eleusis	77
Thomasomys daphne	77
Thomasomys cinnameus	76.23
Thomasomys cinereus	77
Thomasomys cinereiventer	77
Thomasomys caudivarius	76.23
Thomasomys bombycinus	114.5
Thomasomys baeops	77
Thomasomys aureus	88
Thomasomys apeco	76.23
Thomasomys incanus	77
Thomasomys hylophilus	77
Thomasomys rosalinda	77
Thomasomys silvestris	77
Wiedomys pyrrhorhinos	46.7
Wilfredomys oenax	46.8
Zygodontomys brunneus	75.6
Zygodontomys brevicauda	52.23
Allocricetulus curtatus	47.83
Allocricetulus eversmanni	115.56
Cansumys canus	76.02
Cricetulus alticola	37.67
Cricetulus barabensis	22.85
Cricetulus kamensis	37.65
Cricetulus longicaudatus	22.1
Cricetulus migratorius	38.5
Cricetulus sokolovi	37.67
Cricetus cricetus	510
Mesocricetus auratus	105
Mesocricetus raddei	111.73
Mesocricetus newtoni	97.5
Mesocricetus brandti	198
Phodopus campbelli	23.4
Phodopus roborovskii	18.75
Phodopus sungorus	33.75
Tscherskia triton	380.19
Nyctomys sumichrasti	49.44
Otonyctomys hatti	36.2
Ototylomys phyllotis	120
Tylomys bullaris	280
Tylomys fulviventer	170.53
Tylomys mirae	183.6
Tylomys nudicaudus	100
Tylomys panamensis	200
Tylomys tumbalensis	280
Tylomys watsoni	240
Acomys minous	62.5
Acomys airensis	28.81
Acomys nesiotes	28.67
Acomys percivali	22
Acomys spinosissimus	26.5
Acomys wilsoni	18.5
Acomys russatus	49.75
Acomys seurati	28.81
Acomys kempi	22
Acomys mullah	28.74
Acomys johannis	28.81
Acomys ignitus	24
Acomys dimidiatus	28.81
Acomys cineraceus	30.59
Acomys cilicicus	28.61
Acomys chudeaui	28.81
Acomys cahirinus	52.45
Acomys louisae	20.2
Acomys subspinosus	21
Deomys ferrugineus	62
Lophuromys zena	36.5
Lophuromys sikapusi	74.07
Lophuromys verhageni	36.5
Lophuromys melanonyx	10.2
Lophuromys huttereri	36.5
Lophuromys aquilus	36.5
Lophuromys angolensis	36.5
Lophuromys ansorgei	36.5
Lophuromys brevicaudus	36.5
Lophuromys brunneus	36.5
Lophuromys chrysopus	36.5
Lophuromys dieterleni	36.5
Lophuromys dudui	36.5
Lophuromys eisentrauti	54.21
Lophuromys flavopunctatus	60
Lophuromys roseveari	36.5
Lophuromys rahmi	38
Lophuromys nudicaudus	32.59
Lophuromys luteogaster	36.52
Lophuromys woosnami	42.15
Lophuromys medicaudatus	36.38
Uranomys ruddi	40.43
Psammomys obesus	149.58
Psammomys vexillaris	114.79
Rhombomys opimus	144
Sekeetamys calurus	55.25
Tatera indica	166.31
Taterillus tranieri	51.4
Taterillus arenarius	47
Taterillus congicus	45.12
Taterillus emini	52
Taterillus pygargus	60.2
Taterillus gracilis	48
Taterillus harringtoni	51.4
Taterillus lacustris	47.24
Taterillus petteri	50.8
Ammodillus imbellis	50
Brachiones przewalskii	61.11
Desmodilliscus braueri	10
Desmodillus auricularis	53.3
Dipodillus simoni	17.4
Dipodillus maghrebi	23.63
Dipodillus zakariai	35.95
Dipodillus jamesi	23.63
Dipodillus lowei	34.71
Dipodillus mackilligini	34.37
Dipodillus rupicola	23.63
Dipodillus stigmonyx	35.91
Dipodillus dasyurus	27.5
Dipodillus campestris	27.58
Dipodillus bottai	35.1
Dipodillus harwoodi	23.63
Dipodillus somalicus	36.01
Gerbilliscus boehmi	49.36
Gerbilliscus phillipsi	127.07
Gerbilliscus afra	92.13
Gerbilliscus validus	121
Gerbilliscus robustus	95.99
Gerbilliscus nigricaudus	123
Gerbilliscus leucogaster	73.75
Gerbilliscus kempi	100.83
Gerbilliscus inclusus	118.5
Gerbilliscus guineae	102.5
Gerbilliscus brantsii	89.41
Gerbillurus vallinus	35.25
Gerbillurus setzeri	38.3
Gerbillurus tytonis	31
Gerbillurus paeba	23.3
Gerbillus mauritaniae	23.26
Gerbillus burtoni	23.26
Gerbillus cheesmani	28
Gerbillus nancillus	35.94
Gerbillus hoogstraali	35.83
Gerbillus gleadowi	24
Gerbillus floweri	34.47
Gerbillus gerbillus	25.04
Gerbillus dongolanus	23.26
Gerbillus latastei	39.55
Gerbillus aquilus	36.02
Gerbillus andersoni	26.87
Gerbillus agag	23.26
Gerbillus acticola	33.9
Gerbillus dunni	34.33
Gerbillus pulvinatus	35.92
Gerbillus occiduus	36.05
Gerbillus tarabuli	34.81
Gerbillus nigeriae	29.7
Gerbillus rosalinda	33.89
Gerbillus pyramidum	46.29
Gerbillus hesperinus	36.04
Gerbillus perpallidus	36.3
Gerbillus watersi	10.4
Gerbillus garamantis	23.26
Gerbillus amoenus	13.2
Gerbillus henleyi	8
Gerbillus vivax	23.26
Gerbillus poecilops	31.5
Gerbillus mesopotamiae	20
Gerbillus brockmani	33.43
Gerbillus pusillus	12.6
Gerbillus famulus	37
Gerbillus grobbeni	35.3
Gerbillus syrticus	23.26
Gerbillus principulus	36.05
Gerbillus muriculus	33.42
Gerbillus nanus	25.5
Meriones tamariscinus	120
Meriones libycus	91.33
Meriones meridianus	62.1
Meriones arimalius	89.57
Meriones shawi	90.6
Meriones crassus	79.97
Meriones tristrami	105
Meriones grandis	96.13
Meriones unguiculatus	53.3
Meriones zarudnyi	82.44
Meriones dahli	90.15
Meriones vinogradovi	150
Meriones chengi	88.96
Meriones sacramenti	200
Meriones hurrianae	70
Meriones rex	125.25
Meriones persicus	100
Microdillus peeli	35.26
Pachyuromys duprasi	47.5
Myomyscus angolensis	52.89
Myomyscus yemeni	52.7
Myomyscus verreauxii	41
Myomyscus brockmani	41
Nesokia bunnii	154.48
Nesokia indica	178.08
Nesoromys ceramicus	67.38
Praomys misonnei	41.91
Praomys degraaffi	36.25
Praomys minor	41.84
Praomys verschureni	36.25
Praomys obscurus	36.25
Praomys lukolelae	42.2
Praomys morio	30
Praomys daltoni	34.99
Praomys jacksoni	42
Praomys petteri	36.25
Praomys hartwigi	38.86
Praomys derooi	32
Praomys delectorum	36
Praomys rostratus	41.83
Praomys tullbergi	35.83
Praomys mutoni	41.71
Protochromys fellowsi	78.99
Abditomys latidens	269
Abeomelomys sevia	54.88
Aethomys silindensis	82.76
Aethomys stannarius	82.9
Aethomys nyikae	77.01
Aethomys kaiseri	90
Aethomys ineptus	133.16
Aethomys hindei	103.5
Aethomys chrysophilus	74.85
Aethomys bocagei	79.89
Aethomys thomasi	84.69
Anisomys imitator	510.5
Anonymomys mindorensis	76.5
Apodemus epimelas	28.07
Apodemus mystacinus	45.6
Apodemus agrarius	23.3
Apodemus alpicola	28.06
Apodemus argenteus	21
Apodemus chevrieri	32.9
Apodemus draco	22.25
Apodemus flavicollis	26.7
Apodemus gurkha	39.9
Apodemus latronum	35.2
Apodemus witherbyi	20.66
Apodemus pallipes	25.68
Apodemus peninsulae	32.9
Apodemus ponticus	25.76
Apodemus rusiges	25.67
Apodemus semotus	25.77
Apodemus speciosus	33.8
Apodemus sylvaticus	30.45
Apodemus uralensis	17.1
Apodemus hyrcanicus	25.76
Apomys datae	106
Apomys abrae	56.6
Apomys gracilirostris	43.08
Apomys insignis	29.9
Apomys littoralis	30.95
Apomys microdon	35.1
Apomys musculus	21.2
Apomys sacobianus	82.4
Apomys hylocetes	34.88
Archboldomys luzonensis	35.4
Archboldomys musseri	35.4
Arvicanthis niloticus	106.9
Arvicanthis abyssinicus	77.1
Arvicanthis ansorgei	102.35
Arvicanthis blicki	128
Arvicanthis neumanni	98.36
Arvicanthis rufinus	102.35
Arvicanthis nairobae	104
Bandicota bengalensis	188.5
Bandicota indica	719.96
Bandicota savilei	199
Batomys russatus	186.79
Batomys salomonseni	187
Batomys granti	177.8
Batomys dentatus	196
Berylmys bowersi	300
Berylmys mackenziei	256
Berylmys manipulus	116
Berylmys berdmorei	235
Bullimus luzonicus	445
Bullimus bagobus	432.5
Bullimus gamay	367.8
Bunomys penitus	170
Bunomys andrewsi	125
Bunomys chrysocomus	116
Bunomys coelestis	120
Bunomys fratrorum	135
Bunomys prolatus	131
Carpomys phaeurus	215.15
Carpomys melanurus	219.06
Chiromyscus chiropus	77.8
Chiropodomys calamianensis	40.5
Chiropodomys pusillus	28.9
Chiropodomys muroides	16.4
Chiropodomys major	42
Chiropodomys gliroides	21.5
Chiropodomys karlkoopmani	29.1
Chiruromys forbesi	105.15
Chiruromys lamia	47.2
Chiruromys vates	45.55
Chrotomys silaceus	85.13
Chrotomys whiteheadi	140.67
Chrotomys gonzalesi	140.2
Chrotomys mindorensis	151.98
Coccymys albidens	40.4
Coccymys ruemmleri	29.7
Colomys goslingi	62.5
Conilurus albipes	200
Conilurus penicillatus	153.5
Coryphomys buehleri	71.33
Crateromys schadenbergi	1050
Crateromys paulus	401
Crateromys australis	445
Crateromys heaneyi	572.22
Cremnomys cutchicus	59.8
Cremnomys elvira	77.1
Crossomys moncktoni	165
Crunomys fallax	37.5
Crunomys melanius	42.5
Crunomys suncoides	44.42
Crunomys celebensis	55
Dacnomys millardi	73.99
Dasymys rwandae	102.35
Dasymys sua	102.35
Dasymys rufulus	82.99
Dasymys nudipes	100.18
Dasymys incomtus	138.3
Dasymys foxi	116.59
Dasymys alleni	102.35
Dasymys cabrali	102.35
Dasymys montanus	82
Dephomys eburneae	52.5
Dephomys defua	43.05
Desmomys yaldeni	90
Desmomys harringtoni	90
Diomys crumpi	73.85
Diplothrix legata	76.52
Echiothrix centrosa	71.33
Echiothrix leucura	63.68
Eropeplus canus	73.96
Golunda ellioti	60.88
Grammomys aridulus	46.77
Grammomys kuru	46.67
Grammomys buntingi	46.76
Grammomys caniceps	46.77
Grammomys cometes	48.5
Grammomys dolichurus	41.18
Grammomys dryas	47.48
Grammomys ibeanus	41.2
Grammomys macmillani	36
Grammomys minnae	36
Grammomys poensis	50.03
Grammomys gigas	47.05
Hadromys humei	59
Hadromys yunnanensis	59
Haeromys minahassae	14.7
Haeromys pusillus	10.4
Haeromys margarettae	12.7
Hapalomys delacouri	64.3
Hapalomys longicaudatus	70
Heimyscus fumosus	14.25
Hybomys lunaris	54.1
Hybomys badius	51.22
Hybomys basilii	54.18
Hybomys univittatus	47.6
Hybomys trivirgatus	56.9
Hybomys planifrons	49.6
Hydromys neobritannicus	135.43
Hydromys hussoni	141.87
Hydromys habbema	136.19
Hydromys chrysogaster	479.75
Hydromys shawmayeri	141.42
Hylomyscus parvus	14.5
Hylomyscus stella	20.05
Hylomyscus grandis	21.09
Hylomyscus denniae	36
Hylomyscus baeri	21.09
Hylomyscus alleni	19.95
Hylomyscus aeta	20
Hylomyscus carillus	21.56
Hyomys goliath	817.5
Hyomys dammermani	932.5
Kadarsanomys sodyi	79.09
Komodomys rintjanus	73.85
Lamottemys okuensis	75.89
Leggadina lakedownensis	17.5
Leggadina forresti	20
Lemniscomys linulus	44.45
Lemniscomys mittendorfi	41.85
Lemniscomys rosalia	59.3
Lemniscomys roseveari	44.73
Lemniscomys zebra	41.16
Lemniscomys hoogstraali	44.92
Lemniscomys griselda	58
Lemniscomys striatus	38.13
Lemniscomys barbarus	33.43
Lemniscomys macculus	26.5
Lemniscomys bellieri	46.47
Lenomys meyeri	74.17
Lenothrix canus	135
Leopoldamys milleti	336.38
Leopoldamys edwardsi	300
Leopoldamys sabanus	338.33
Leopoldamys siporanus	576
Leopoldamys ciliatus	336.38
Leopoldamys neilli	219
Leporillus apicalis	150
Leporillus conditor	350
Leptomys ernstmayri	42.85
Leptomys signatus	52.04
Leptomys elegans	84.75
Limnomys sibuanus	60
Limnomys bryophilus	64.1
Lorentzimys nouhuysi	14.2
Macruromys elegans	277.9
Macruromys major	350
Madromys blanfordi	71.33
Malacomys cansdalei	68.39
Malacomys edwardsi	64.95
Malacomys longipes	95.6
Mallomys rothschildi	1157.5
Mallomys gunung	2000
Mallomys istapantap	1950
Mallomys aroaensis	1664
Malpaisomys insularis	71.33
Mammelomys lanosus	117.1
Mammelomys rattoides	209.49
Margaretamys beccarii	70.35
Margaretamys elegans	121
Margaretamys parvus	32.1
Mastacomys fuscus	125.72
Mastomys shortridgei	46.5
Mastomys pernanus	52.33
Mastomys natalensis	54.54
Mastomys kollmannspergeri	55.39
Mastomys huberti	49.89
Mastomys erythroleucus	56.15
Mastomys awashensis	49.89
Mastomys coucha	43.5
Maxomys wattsi	147
Maxomys moi	147
Maxomys alticola	90
Maxomys baeodon	69.8
Maxomys bartelsii	102
Maxomys dollmani	120
Maxomys hellwaldii	203
Maxomys hylomyoides	56.6
Maxomys inflatus	152
Maxomys whiteheadi	56.01
Maxomys musschenbroekii	84.8
Maxomys ochraceiventer	97
Maxomys pagensis	196
Maxomys panglima	189
Maxomys rajah	150.25
Maxomys surifer	150.37
Maxomys inas	90
Melasmothrix naso	47.45
Melomys fulgens	97.3
Melomys lutillus	86.68
Melomys aerosus	97.3
Melomys arcium	86.68
Melomys bannisteri	86.68
Melomys bougainville	86
Melomys burtoni	68.5
Melomys capensis	70
Melomys caurinus	136
Melomys cervinipes	78
Melomys cooperae	86.68
Melomys dollmani	91.27
Melomys fraterculus	47.8
Melomys leucogaster	108.5
Melomys howi	86.68
Melomys talaudium	86.68
Melomys matambuai	145
Melomys obiensis	71
Melomys paveli	86.68
Melomys rubicola	100
Melomys rufescens	70.55
Melomys spechti	86.68
Melomys frigicola	86.68
Mesembriomys gouldii	716.5
Mesembriomys macrurus	267
Micaelamys granti	40
Micaelamys namaquensis	57.1
Microhydromys musseri	17.32
Microhydromys richardsoni	10.25
Micromys minutus	6
Millardia kathleenae	93
Millardia gleadowi	30.8
Millardia kondana	147
Millardia meltada	70
Muriculus imberbis	18.5
Mus cervicolor	17.7
Mus musculus	16.25
Mus spicilegus	14
Mus fragilicauda	13.76
Mus cookii	20.47
Mus macedonicus	15
Mus caroli	11.25
Mus spretus	12.8
Mus booduga	11.55
Mus terricolor	9
Mus famulus	22.88
Mus orangiae	9.5
Mus tenellus	9.48
Mus sorella	9.5
Mus setzeri	6.65
Mus setulosus	9.4
Mus oubanguii	9.16
Mus neavei	9.53
Mus musculoides	6
Mus mattheyi	9.52
Mus triton	13.55
Mus indutus	6.15
Mus haussa	9.18
Mus goundae	8.96
Mus callewaerti	9.12
Mus bufo	9.2
Mus baoulei	9.12
Mus mahomet	10
Mus minutoides	7.01
Mus mayori	20.78
Mus vulcani	20.2
Mus crociduroides	28.7
Mus pahari	25.73
Mus shortridgei	34.6
Mus saxicola	21.4
Mus platythrix	25.2
Mus phillipsi	12.3
Mus fernandoni	21.82
Mylomys rex	114.4
Mylomys dybowskii	114.4
Nilopegamys plumbeus	84
Niviventer andersoni	147
Niviventer confucianus	65
Niviventer brahma	97.3
Niviventer rapit	86.75
Niviventer hinpoon	61
Niviventer niviventer	100
Niviventer lepturus	84.8
Niviventer langbianis	69.8
Niviventer fulvescens	82.55
Niviventer excelsior	102
Niviventer eha	53.6
Niviventer culturatus	81.17
Niviventer cremoriventer	69.71
Niviventer coninga	80.65
Niviventer tenaster	103
Niviventer fraternus	83.06
Niviventer cameroni	83.06
Notomys fuscus	35
Notomys mordax	90
Notomys mitchellii	52
Notomys macrotis	90
Notomys longicaudatus	100
Notomys cervinus	35
Notomys aquilo	39
Notomys amplus	90
Notomys alexis	35
Oenomys hypoxanthus	90
Oenomys ornatus	85.5
Palawanomys furvus	73.91
Papagomys theodorverhoeveni	71.33
Papagomys armandvillei	73.8
Parahydromys asper	540
Paraleptomys wilhelmina	33
Paraleptomys rufilatus	55
Paramelomys mollis	90.05
Paramelomys moncktoni	80.56
Paramelomys naso	84.49
Paramelomys levipes	82.81
Paramelomys platyops	85.6
Paramelomys rubex	47.16
Paramelomys steini	84.49
Paramelomys lorentzii	150
Paramelomys gressitti	84.49
Paruromys dominator	325.31
Paulamys naso	122
Pelomys campanae	77.01
Pelomys fallax	130
Pelomys hopkinsi	76.94
Pelomys isseli	60
Pelomys minor	50
Phloeomys cumingi	1946.33
Phloeomys pallidus	1744.14
Pithecheir parvus	106
Pithecheir melanurus	108
Pithecheirops otion	71.33
Pogonomelomys mayeri	109.7
Pogonomelomys bruijni	82.01
Pogonomys sylvestris	43.35
Pogonomys fergussoniensis	57.88
Pogonomys loriae	95.13
Pogonomys macrourus	53.95
Pogonomys championi	50.45
Pseudohydromys ellermani	21.4
Pseudohydromys fuscus	18.74
Pseudohydromys murinus	16.8
Pseudohydromys occidentalis	21.9
Pseudomys desertor	25
Pseudomys oralis	95
Pseudomys occidentalis	34
Pseudomys nanus	34
Pseudomys johnsoni	12
Pseudomys higginsi	67
Pseudomys hermannsburgensis	12
Pseudomys gracilicaudatus	74.75
Pseudomys gouldii	50
Pseudomys glaucus	27.5
Pseudomys patrius	15
Pseudomys fieldi	45
Pseudomys novaehollandiae	20
Pseudomys delicatulus	11
Pseudomys chapmani	12
Pseudomys calabyi	19.5
Pseudomys bolami	15.5
Pseudomys australis	65
Pseudomys apodemoides	20
Pseudomys albocinereus	30.5
Pseudomys fumeus	70
Pseudomys shortridgei	70
Pseudomys pilligaensis	11
Pseudomys laborifex	12
Rattus novaeguineae	133
Rattus lutreolus	106
Rattus sanila	149.96
Rattus salocco	149.96
Rattus richardsoni	64.29
Rattus praetor	204.13
Rattus palmarum	491
Rattus omichlodes	70.02
Rattus simalurensis	153.12
Rattus norvegicus	338.33
Rattus nitidus	133.5
Rattus pyctoris	149.96
Rattus niobe	45.07
Rattus ranjiniae	120
Rattus nativitatis	149.96
Rattus morotaiensis	148.25
Rattus osgoodi	93
Rattus tiomanicus	129.96
Rattus xanthurus	303
Rattus villosissimus	134
Rattus rattus	229.13
Rattus verecundus	97.02
Rattus vandeuseni	67.24
Rattus pelurus	170.27
Rattus satarae	149.96
Rattus pococki	149.96
Rattus mordax	230
Rattus timorensis	160.32
Rattus tawitawiensis	180
Rattus tanezumi	134
Rattus stoicus	323
Rattus steini	155
Rattus sordidus	157.5
Rattus tunneyi	124
Rattus montanus	136
Rattus exulans	47.31
Rattus everetti	255.03
Rattus enganus	305
Rattus elaphinus	131.35
Rattus colletti	61
Rattus feliceus	306
Rattus blangorum	149.96
Rattus bontanus	239
Rattus arrogans	149.96
Rattus argentiventer	133.13
Rattus arfakiensis	149.96
Rattus annandalei	216.1
Rattus andamanensis	149.96
Rattus adustus	158
Rattus burrus	152.3
Rattus jobiensis	380
Rattus mindorensis	136
Rattus macleari	149.96
Rattus lugens	224
Rattus losea	77
Rattus leucopus	171.73
Rattus korinchi	131
Rattus fuscipes	133
Rattus koopmani	151.4
Rattus mollicomulus	151.76
Rattus marmosurus	217
Rattus baluensis	108.75
Rattus hoogerwerfi	165
Rattus hoffmanni	147
Rattus hainaldi	155.52
Rattus giluwensis	169.88
Rhabdomys dilectus	41.12
Rhabdomys pumilio	41.12
Rhagamys orthodon	71.33
Rhynchomys isarogensis	122.5
Rhynchomys soricoides	187
Solomys salebrosus	397
Solomys sapientis	402.48
Solomys salamonis	408.8
Solomys ponceleti	1000
Solomys spriggsarum	630.08
Sommeromys macrorhinos	71.33
Spelaeomys florensis	71.33
Srilankamys ohiensis	79.25
Stenocephalemys ruppi	48.99
Stenocephalemys albipes	52.81
Stenocephalemys albocaudata	144
Stenocephalemys griseicauda	85.75
Stochomys longicaudatus	70.95
Sundamys maxi	361
Sundamys muelleri	275.67
Sundamys infraluteus	418.5
Taeromys punicans	138
Taeromys callitrichus	271
Taeromys taerae	247
Taeromys microbullatus	225.86
Taeromys hamatus	196
Taeromys arcuatus	227
Taeromys celebensis	323
Tarsomys echinatus	96.2
Tarsomys apoensis	75
Tateomys macrocercus	42.7
Tateomys rhinogradoides	82.8
Thallomys loringi	66.45
Thallomys shortridgei	67.17
Thallomys nigricauda	124.7
Thallomys paedulcus	80.5
Thamnomys kempi	75
Thamnomys major	68.12
Thamnomys venustus	61.88
Tokudaia muenninki	177.4
Tokudaia osimensis	129.6
Tryphomys adustus	136.47
Uromys siebersi	521.53
Uromys boeadii	521.53
Uromys anak	664.5
Uromys hadrourus	194
Uromys emmae	521.53
Uromys neobritannicus	612.49
Uromys caudimaculatus	606.75
Uromys porculus	521.53
Uromys rex	420
Uromys imperator	1000
Vandeleuria nilagirica	23.79
Vandeleuria nolthenii	56.6
Vandeleuria oleracea	10
Vernaya fulva	24.85
Xenuromys barbatus	1000
Xeromys myoides	41
Zelotomys hildegardeae	60
Zelotomys woosnami	54.1
Zyzomys argurus	36
Zyzomys maini	94
Zyzomys palatilis	123
Zyzomys pedunculatus	100
Zyzomys woodwardi	136
Leimacomys buttneri	55
Myotomys sloggetti	106.25
Myotomys unisulcatus	102.5
Otomys irroratus	118.02
Otomys typus	115.44
Otomys tropicalis	108.83
Otomys saundersiae	103
Otomys orestes	127.2
Otomys occidentalis	115.77
Otomys maximus	192
Otomys laminatus	145
Otomys angoniensis	121.9
Otomys jacksoni	127.2
Otomys uzungwensis	127.2
Otomys dollmani	127.2
Otomys denti	120
Otomys dartmouthi	127.2
Otomys cuanzensis	127.2
Otomys burtoni	127.2
Otomys barbouri	127.2
Otomys anchietae	115.9
Otomys lacustris	127.2
Parotomys littledalei	127
Parotomys brantsii	129.5
Platacanthomys lasiurus	75
Typhlomys cinereus	31.2
Eospalax fontanierii	256.76
Eospalax rothschildi	256.76
Eospalax smithii	256.76
Myospalax psilurus	259.21
Myospalax aspalax	237.75
Myospalax myospalax	225
Cannomys badius	650
Rhizomys sinensis	865
Rhizomys sumatrensis	1625
Rhizomys pruinosus	2450
Spalax graecus	316.04
Spalax nehringi	295.05
Spalax uralensis	295.05
Spalax microphthalmus	470
Spalax leucodon	188.67
Spalax judaei	295.05
Spalax giganteus	301.96
Spalax galili	295.05
Spalax ehrenbergi	164.35
Spalax arenarius	520
Spalax carmeli	295.05
Spalax zemni	316.28
Spalax golani	295.05
Tachyoryctes ibeanus	309.95
Tachyoryctes storeyi	309.95
Tachyoryctes splendens	212.25
Tachyoryctes spalacinus	309.95
Tachyoryctes ruddi	309.95
Tachyoryctes ruandae	309.95
Tachyoryctes rex	309.95
Tachyoryctes macrocephalus	596.99
Tachyoryctes daemon	309.95
Tachyoryctes audax	235
Tachyoryctes annectens	309.95
Tachyoryctes ankoliae	309.95
Tachyoryctes naivashae	309.95
Calomyscus grandis	18.62
Calomyscus tsolovi	21.43
Calomyscus urartensis	21.22
Calomyscus hotsoni	21.42
Calomyscus baluchi	21.39
Calomyscus bailwardi	20.4
Calomyscus mystax	17
Calomyscus elburzensis	18.62
Anomalurus beecrofti	389
Anomalurus derbianus	649.99
Anomalurus pelii	1769.99
Anomalurus pusillus	250
Idiurus macrotis	30
Idiurus zenkeri	100
Zenkerella insignis	200
Pedetes capensis	3155
Pedetes surdaster	3155
Ctenodactylus vali	175
Ctenodactylus gundi	289
Felovia vae	205
Massoutiera mzabi	194
Pectinator spekei	160
Bathyergus janetta	332
Bathyergus suillus	625
Cryptomys hottentotus	101.95
Cryptomys zechi	223.06
Cryptomys ochraceocinereus	200
Cryptomys mechowi	272
Cryptomys kafuensis	125.41
Cryptomys darlingi	65.58
Cryptomys damarensis	153.25
Cryptomys bocagei	94
Cryptomys foxi	183.14
Cryptomys amatus	76.74
Cryptomys anselli	85.59
Georychus capensis	232.67
Heliophobius argenteocinereus	181
Heterocephalus glaber	55
Atherurus macrourus	2000
Atherurus africanus	1934
Hystrix africaeaustralis	14936.02
Hystrix cristata	16250
Hystrix indica	12435.83
Hystrix brachyura	8450
Hystrix javanica	23014.42
Hystrix pumila	2740
Hystrix crassispinis	5445.03
Hystrix sumatrae	3260
Trichys fasciculata	1655
Petromus typicus	224
Ctenomys juris	259.74
Ctenomys fodax	259.74
Ctenomys frater	172.9
Ctenomys fulvus	262
Ctenomys leucodon	243.6
Ctenomys goodfellowi	259.74
Ctenomys johannis	259.74
Ctenomys boliviensis	535
Ctenomys knighti	316
Ctenomys lami	259.74
Ctenomys latro	192
Ctenomys fochi	259.74
Ctenomys haigi	164
Ctenomys flamarioni	259.74
Ctenomys famosus	259.74
Ctenomys emilianus	285.3
Ctenomys dorsalis	165.6
Ctenomys dorbignyi	259.74
Ctenomys coyhaiquensis	259.74
Ctenomys conoveri	860
Ctenomys coludo	259.74
Ctenomys lewisi	117.2
Ctenomys bonettoi	202.3
Ctenomys pundti	259.74
Ctenomys bergi	259.74
Ctenomys azarae	400
Ctenomys australis	361.5
Ctenomys budini	259.74
Ctenomys scagliai	259.74
Ctenomys argentinus	221.3
Ctenomys brasiliensis	400
Ctenomys yolandae	259.74
Ctenomys viperinus	259.74
Ctenomys validus	232.6
Ctenomys tulduco	259.74
Ctenomys tucumanus	217
Ctenomys tuconax	249
Ctenomys torquatus	209.5
Ctenomys talarum	132.33
Ctenomys sylvanus	259.74
Ctenomys steinbachi	385
Ctenomys pontifex	400
Ctenomys sericeus	400
Ctenomys mendocinus	163.05
Ctenomys saltarius	230
Ctenomys roigi	259.74
Ctenomys rionegrensis	259.74
Ctenomys porteousi	192.4
Ctenomys pilarensis	259.74
Ctenomys peruanus	490
Ctenomys perrensi	400
Ctenomys pearsoni	212
Ctenomys osvaldoreigi	259.74
Ctenomys opimus	361.5
Ctenomys occultus	150
Ctenomys minutus	92
Ctenomys sociabilis	400
Ctenomys colburni	400
Ctenomys magellanicus	272
Ctenomys maulinus	215
Phyllomys medius	298.33
Phyllomys mantiqueirensis	298.33
Phyllomys lundi	298.33
Phyllomys unicolor	439
Phyllomys nigrispinus	224.3
Phyllomys thomasi	502.14
Phyllomys blainvillii	243.3
Phyllomys brasiliensis	312.49
Phyllomys dasythrix	260
Phyllomys kerri	298.33
Phyllomys lamarum	215.19
Phyllomys pattoni	298.33
Callistomys pictus	518.99
Diplomys rufodorsalis	144.8
Diplomys labilis	227.5
Diplomys caniceps	394.5
Echimys chrysurus	652.5
Echimys semivillosus	200
Echimys saturnus	626.9
Isothrix sinnamariensis	291.73
Isothrix pagurus	210
Isothrix negrensis	300.97
Isothrix bistriata	445
Makalata grandis	584
Makalata rhipidura	315
Makalata occasius	322.29
Makalata macrura	439
Makalata didelphoides	398.66
Makalata obscura	108
Carterodon sulcidens	113.8
Clyomys bishopi	30
Clyomys laticeps	201
Euryzygomatomys spinosus	187.5
Hoplomys gymnurus	240
Lonchothrix emiliae	138.2
Mesomys stimulax	108
Mesomys hispidus	175
Mesomys occultus	126.85
Mesomys leniceps	108
Proechimys pattoni	292.04
Proechimys oconnelli	285
Proechimys trinitatus	296.15
Proechimys urichi	285
Proechimys steerei	285
Proechimys guairae	400
Proechimys simonsi	285
Proechimys semispinosus	360.5
Proechimys roberti	284.99
Proechimys poliopus	285
Proechimys decumanus	285
Proechimys goeldii	285
Proechimys quadruplicatus	285
Proechimys echinothrix	292.04
Proechimys mincae	285
Proechimys cuvieri	330
Proechimys chrysaeolus	285
Proechimys canicollis	285
Proechimys guyannensis	314.03
Proechimys hoplomyoides	285
Proechimys kulinae	292.04
Proechimys longicaudatus	205
Proechimys gardneri	292.04
Proechimys magdalenae	285
Proechimys brevicauda	285
Thrichomys inermis	339
Thrichomys pachyurus	339
Thrichomys apereoides	339
Trinomys paratus	235.59
Trinomys dimidiatus	167.6
Trinomys gratiosus	235.59
Trinomys iheringi	220.39
Trinomys mirapitanga	235.59
Trinomys moojeni	235.59
Trinomys myosuros	284.99
Trinomys eliasi	200
Trinomys yonenagae	235.59
Trinomys albispinus	284.99
Trinomys setosus	284.99
Dactylomys peruanus	382
Dactylomys dactylinus	649.99
