Scientific	BodyMass-Value
Wallabia bicolor	15000
Lagostrophus fasciatus	1700
Hypsiprymnodon moschatus	520
Aepyprymnus rufescens	3250
Bettongia lesueur	1500
Bettongia penicillata	1300
Bettongia tropica	1256.58
Bettongia gaimardi	1660
Caloprymnus campestris	900
Potorous platyops	500
Potorous gilbertii	1569.46
Potorous longipes	1900
Potorous tridactylus	1100
Geogale aurita	7
Limnogale mergulus	78.6
Microgale longicaudata	7.3
Microgale thomasi	22.9
Microgale talazaci	48
Microgale taiva	12.4
Microgale soricoides	18.7
Microgale pusilla	3.4
Microgale principula	10.2
Microgale parvula	3.4
Microgale monticola	13.9
Microgale gymnorhyncha	18.2
Microgale gracilis	23.3
Microgale fotsifotsy	7.7
Microgale dryas	40
Microgale drouhardi	10.5
Microgale dobsoni	38
Microgale cowani	13.8
Microgale brevicaudata	11.3
Microgale nasoloi	13.83
Oryzorictes hova	36.5
Oryzorictes tetradactylus	36
Micropotamogale lamottei	69.6
Micropotamogale ruwenzorii	98.5
Potamogale velox	659.99
Echinops telfairi	180
Hemicentetes semispinosus	137.8
Hemicentetes nigriceps	102.99
Setifer setosus	294
Tenrec ecaudatus	868
Carpitalpa arendsi	52.34
Chlorotalpa duthieae	49.7
Chlorotalpa sclateri	41
Chrysochloris asiatica	49
Chrysochloris visagiei	30
Chrysochloris stuhlmanni	39.8
Chrysospalax trevelyani	426.5
Chrysospalax villosus	119.88
Cryptochloris zyli	25
Cryptochloris wintoni	25
Eremitalpa granti	26.1
Amblysomus corriae	52.6
Amblysomus hottentotus	52.6
Amblysomus marleyi	52.6
Amblysomus robustus	52.6
Amblysomus septentrionalis	52.6
Calcochloris obtusirostris	24.05
Calcochloris leucorhinus	49.7
Calcochloris tytonis	49.7
Neamblysomus julianae	21.99
Neamblysomus gunningi	35.84
Elephantulus rupestris	66.4
Elephantulus brachyrhynchus	47.5
Elephantulus edwardii	48
Elephantulus fuscipes	57
Elephantulus fuscus	52.56
Elephantulus intufi	49.5
Elephantulus myurus	52.4
Elephantulus revoili	32.5
Elephantulus rozeti	48
Elephantulus rufescens	37.5
Macroscelides proboscideus	38.2
Petrodromus tetradactylus	187.5
Rhynchocyon chrysopygus	540
Rhynchocyon cirnei	490
Rhynchocyon petersi	424
Orycteropus afer	52350.4
Dendrohyrax arboreus	2949.99
Dendrohyrax dorsalis	3175
Heterohyrax brucei	2625
Procavia capensis	3029.98
Elephas maximus	2915040
Loxodonta africana	3940034.28
Loxodonta cyclotis	4750000.01
Dugong dugon	310000
Trichechus inunguis	480000
Trichechus manatus	433333
Trichechus senegalensis	454000
Dasypus septemcinctus	1526.65
Dasypus yepesi	2785.87
Dasypus sabanicola	1150.01
Dasypus pilosus	4444.98
Dasypus novemcinctus	4203.78
Dasypus kappleri	9500
Dasypus hybridus	1500
Calyptophractus retusus	129.99
Chaetophractus nationi	2150.01
Chaetophractus vellerosus	1030.01
Chaetophractus villosus	4540.04
Chlamyphorus truncatus	44.3
Euphractus sexcinctus	4782.89
Zaedyus pichiy	1380
Cabassous unicinctus	4799.99
Cabassous centralis	3809.96
Cabassous chacoensis	1490.01
Cabassous tatouay	5349.95
Priodontes maximus	45359.68
Tolypeutes matacus	1200
Tolypeutes tricinctus	1487
Bradypus pygmaeus	4022.57
Bradypus torquatus	3899.96
Bradypus tridactylus	3849.99
Bradypus variegatus	4335.01
Choloepus didactylus	5160
Choloepus hoffmanni	4750.01
Cyclopes didactylus	329.5
Myrmecophaga tridactyla	22333.15
Tamandua mexicana	4209.98
Tamandua tetradactyla	5515.06
Anathana ellioti	160
Dendrogale melanura	60
Dendrogale murina	50
Tupaia moellendorffi	150.45
Tupaia gracilis	74.58
Tupaia tana	197.83
Tupaia splendidula	160
Tupaia picta	147.5
Tupaia palawanensis	168.05
Tupaia nicobarica	170.25
Tupaia montana	199
Tupaia belangeri	200
Tupaia javanica	105
Tupaia minor	64.28
Tupaia glis	169.83
Tupaia dorsalis	265
Tupaia chrysogaster	131.08
Tupaia longipes	168.05
Urogale everetti	350
Ptilocercus lowii	41.88
Cynocephalus volans	1250
Galeopterus variegates	1112.2
Allocebus trichotis	77.5
Cheirogaleus crossleyi	285.39
Cheirogaleus major	450
Cheirogaleus medius	181
Cheirogaleus minusculus	285.39
Cheirogaleus ravus	285.39
Cheirogaleus sibreei	285.39
Cheirogaleus adipicaudatus	285.39
Microcebus murinus	69
Microcebus tavaratra	68.01
Microcebus sambiranensis	49.06
Microcebus rufus	42.5
Microcebus griseorufus	70.24
Microcebus berthae	33.45
Microcebus myoxinus	30
Microcebus ravelobensis	55
Mirza coquereli	308
Phaner electromontis	425
Phaner furcifer	400
Phaner pallescens	425
Phaner parienti	425
Eulemur albocollaris	2397.37
Eulemur sanfordi	2394.03
Eulemur rufus	2394.62
Eulemur rubriventer	1400
Eulemur mongoz	1600
Eulemur macaco	2040
Eulemur fulvus	3150
Eulemur coronatus	1650
Eulemur cinereiceps	2114.06
Eulemur albifrons	2300
Eulemur collaris	2375
Hapalemur alaotrensis	1616.83
Hapalemur occidentalis	750
Hapalemur griseus	1400
Hapalemur aureus	1575
Lemur catta	2900
Prolemur simus	2030.41
Varecia rubra	3872.6
Varecia variegata	3850
Lepilemur leucopus	650
Lepilemur septentrionalis	750
Lepilemur ruficaudatus	700
Lepilemur microdon	900
Lepilemur edwardsi	700
Lepilemur dorsalis	500
Lepilemur ankaranensis	700.89
Lepilemur mustelinus	773
Avahi laniger	900
Avahi occidentalis	800
Avahi unicolor	848.53
Indri indri	8000
Propithecus edwardsi	6573.27
Propithecus verreauxi	3480
Propithecus perrieri	5250
Propithecus deckenii	4000
Propithecus coquereli	4189.27
Propithecus tattersalli	3500
Propithecus diadema	7500
Daubentonia madagascariensis	2500
Arctocebus aureus	235
Arctocebus calabarensis	210
Loris lydekkerianus	254.06
Loris tardigradus	227.67
Nycticebus coucang	803.5
Nycticebus pygmaeus	900
Nycticebus bengalensis	1137.36
Perodicticus potto	1099.99
Pseudopotto martini	474.8
Euoticus elegantulus	300
Euoticus pallidus	230
Galago gabonensis	165.68
Galago thomasi	117.35
Galago senegalensis	227.67
Galago rondoensis	165.68
Galago nyasae	165.68
Galago orinus	165.68
Galago zanzibaricus	147.35
Galago matschiei	210
Galago granti	165.68
Galago alleni	260
Galago cameronensis	165.68
Galago gallarum	250
Galago moholi	160
Galago demidoff	66.04
Otolemur monteiri	1577.16
Otolemur garnettii	760
Otolemur crassicaudatus	1500
Saguinus niger	462.13
Saguinus midas	540
Saguinus mystax	618
Saguinus pileatus	462.13
Saguinus nigricollis	462
Saguinus bicolor	465
Saguinus fuscicollis	387
Saguinus leucopus	440
Saguinus tripartitus	393.5
Saguinus geoffroyi	486.5
Saguinus oedipus	430
Saguinus martinsi	462.13
Saguinus labiatus	575
Saguinus inustus	410.5
Saguinus imperator	400
Saguinus graellsi	462.13
Saguinus melanoleucus	462.13
Callimico goeldii	480
Callithrix flaviceps	342
Callithrix kuhlii	342
Callithrix geoffroyi	342
Callithrix aurita	342
Callithrix penicillata	342
Callithrix jacchus	292
Callithrix nigriceps	401.12
Callithrix intermedia	335.61
Callithrix leucippe	335.61
Callithrix manicorensis	335.61
Callithrix marcai	335.61
Callithrix melanura	335.61
Callithrix humeralifera	374.99
Callithrix saterei	441.25
Callithrix mauesi	443.79
Callithrix emiliae	309.58
Callithrix chrysoleuca	335.61
Callithrix argentata	440
Callithrix acariensis	335.61
Callithrix pygmaea	125
Callithrix humilis	335.61
Leontopithecus rosalia	535.5
Leontopithecus chrysopygus	700
Leontopithecus chrysomelas	572.8
Leontopithecus caissara	572
Cebus apella	2500
Cebus capucinus	2733.32
Cebus kaapori	3000
Cebus nigritus	2687.21
Cebus olivaceus	2599.98
Cebus xanthosternos	2687.21
Cebus albifrons	2629
Cebus libidinosus	2687.21
Saimiri boliviensis	615.01
Saimiri oerstedii	278.5
Saimiri sciureus	743.24
Saimiri ustus	1000
Saimiri vanzolinii	769.61
Ateles paniscus	7900.05
Ateles geoffroyi	5284.94
Ateles hybridus	6394.85
Ateles fusciceps	9100
Ateles marginatus	5999.98
Ateles chamek	5999.98
Ateles belzebuth	5000
Brachyteles hypoxanthus	13499.88
Brachyteles arachnoides	13499.88
Lagothrix lagotricha	6299.99
Lagothrix lugens	6
Lagothrix poeppigii	62.31
Lagothrix cana	6.4
Oreonax flavicauda	8229.12
Alouatta seniculus	6145.54
Alouatta guariba	5188.33
Alouatta belzebul	6400
Alouatta caraya	5862.46
Alouatta coibensis	6320.06
Alouatta macconnelli	6320.06
Alouatta nigerrima	6320.06
Alouatta palliata	7274.95
Alouatta sara	6611.04
Alouatta pigra	7000.03
Aotus nigriceps	1060.01
Aotus miconax	800
Aotus azarae	929.57
Aotus vociferans	872.99
Aotus lemurinus	872.99
Aotus nancymaae	788.01
Aotus trivirgatus	899.99
Aotus hershkovitzi	800
Callicebus ornatus	1170.5
Callicebus caligatus	992.41
Callicebus baptista	1011.32
Callicebus brunneus	992.41
Callicebus bernhardi	950
Callicebus coimbrai	1011.32
Callicebus barbarabrownae	1011.32
Callicebus stephennashi	690
Callicebus cinerascens	992.41
Callicebus pallescens	800
Callicebus olallae	992.41
Callicebus oenanthe	992.41
Callicebus nigrifrons	1011.32
Callicebus dubius	992.41
Callicebus hoffmannsi	992.41
Callicebus personatus	1349.99
Callicebus donacophilus	795.01
Callicebus discolor	1005
Callicebus melanochir	1370
Callicebus modestus	992.41
Callicebus cupreus	915
Callicebus moloch	854.73
Callicebus regulus	1011.32
Callicebus torquatus	1050
Callicebus purinus	1011.32
Callicebus lugens	1011.32
Callicebus lucifer	1500
Callicebus medemi	1205
Cacajao calvus	5796.02
Cacajao melanocephalus	3100
Chiropotes chiropotes	2949.58
Chiropotes albinasus	2900.01
Chiropotes utahickae	2949.58
Chiropotes israelita	2949.58
Chiropotes satanas	2999.99
Pithecia pithecia	1375.5
Pithecia irrorata	2240.99
Pithecia albicans	2800.01
Pithecia aequatorialis	2249.99
Pithecia monachus	1537.52
Allenopithecus nigroviridis	4749.96
Macaca leonina	5786.96
Macaca maura	7300
Macaca mulatta	3713
Macaca nemestrina	6296.5
Macaca nigra	6400
Macaca nigrescens	5786.96
Macaca ochreata	2600
Macaca radiata	3690
Macaca arctoides	5000
Macaca hecki	5786.96
Macaca pagensis	4534.66
Macaca fascicularis	3991.5
Macaca cyclopis	6000
Macaca assamensis	12000
Macaca siberu	5786.96
Macaca silenus	4750
Macaca tonkeana	9000
Macaca thibetana	12000
Macaca sylvanus	7000.03
Macaca sinica	3590
Macaca fuscata	10400
Cercocebus galeritus	7835.02
Cercocebus sanjei	8000
Cercocebus atys	6941.24
Cercocebus agilis	8000
Cercocebus chrysogaster	12000
Cercocebus torquatus	7749.97
Cercopithecus sclateri	3375
Cercopithecus mona	4208.33
Cercopithecus neglectus	5479.99
Cercopithecus nictitans	5803.34
Cercopithecus petaurista	2774.98
Cercopithecus pogonias	3764.96
Cercopithecus roloway	5500
Cercopithecus solatus	6500
Cercopithecus wolfi	4000
Cercopithecus mitis	5000
Cercopithecus kandti	4291.5
Cercopithecus preussi	5250
Cercopithecus doggetti	4291.5
Cercopithecus albogularis	4291.5
Cercopithecus ascanius	3550
Cercopithecus campbelli	4099.96
Cercopithecus cephus	3484.98
Cercopithecus diana	4175.03
Cercopithecus dryas	3075
Cercopithecus erythrogaster	2500
Cercopithecus erythrotis	3918.33
Cercopithecus hamlyni	6875
Cercopithecus lhoesti	5375.02
Cercopithecus lowei	4400
Cercopithecus denti	4500
Chlorocebus cynosuros	4993
Chlorocebus sabaeus	4993
Chlorocebus tantalus	4993
Chlorocebus djamdjamensis	6000
Chlorocebus aethiops	4155
Chlorocebus pygerythrus	4993
Erythrocebus patas	8090
Lophocebus albigena	7690.06
Lophocebus aterrimus	6510.37
Lophocebus opdenboschi	7075.67
Mandrillus leucophaeus	14999.96
Mandrillus sphinx	18249.88
Miopithecus talapoin	1250
Miopithecus ogouensis	1250
Papio cynocephalus	15822.15
Papio ursinus	17729.44
Papio hamadryas	21250.05
Papio anubis	17728.56
Papio papio	18026.05
Theropithecus gelada	17049.83
Colobus angolensis	9850
Colobus guereza	10600
Colobus polykomos	9917.45
Colobus satanas	4319.96
Colobus vellerosus	7700.18
Nasalis larvatus	9000
Piliocolobus preussi	8865.71
Piliocolobus tholloni	8591.69
Piliocolobus rufomitratus	8030.75
Piliocolobus pennantii	10896
Piliocolobus kirkii	7158.29
Piliocolobus gordonorum	8591.69
Piliocolobus foai	8591.69
Piliocolobus tephrosceles	8591.69
Piliocolobus badius	8430.4
Presbytis frontata	6050
Presbytis thomasi	6690
Presbytis siamensis	5895.06
Presbytis rubicunda	6300
Presbytis potenziani	6450
Presbytis natunae	6374.15
Presbytis hosei	6500
Presbytis femoralis	7000
Presbytis chrysomelas	6374.15
Presbytis comata	6250
Presbytis melalophos	6300
Procolobus verus	4000
Pygathrix nigripes	10333.32
Pygathrix nemaeus	8310
Pygathrix cinerea	9266.6
Rhinopithecus brelichi	12267.15
Rhinopithecus bieti	11000.54
Rhinopithecus avunculus	9086.19
Rhinopithecus roxellana	13456.8
Semnopithecus priam	10752
Semnopithecus ajax	10752
Semnopithecus hypoleucos	10026.65
Semnopithecus hector	10752
Semnopithecus entellus	11529.83
Semnopithecus schistaceus	10752
Semnopithecus dussumieri	10752
Simias concolor	7393.9
Trachypithecus geei	8350
Trachypithecus shortridgei	8516.46
Trachypithecus poliocephalus	8516.46
Trachypithecus pileatus	11450
Trachypithecus phayrei	8400
Trachypithecus obscurus	6420
Trachypithecus laotum	8516.46
