DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PGA_copy
Eschrichtius_robustus	1
Eubalaena_glacialis	1
Eumetopias_jubatus	1
Felis_catus	1
Felis_chaus	1
Geomys_bursarius	1
Gorilla_gorilla	4
Grampus_griseus	1
Heterohyrax_brucei	1
Hipposideros_larvatus	1
Hyaena_hyaena	1
Hydrurga_leptonyx	1
Hylobates_pileatus	2
Ia_io	1
Inia_geoffrensis	1
Jaculus_jaculus	1
Kogia_breviceps	1
Kogia_sima	1
Lasiopodomys_brandtii	1
Lasiopodomys_mandarinus	1
Lemmus_lemmus	1
Lemur_catta	1
Leontopithecus_rosalia	1
Lepus_capensis	8
Lepus_castroviejoi	8
Lepus_europaeus	10
Lepus_oiostolus	8
Lepus_timidus	11
Lepus_tolai	8
Lepus_yarkandensis	12
Lontra_canadensis	1
Loris_tardigradus	1
Loxodonta_africana	1
Lutra_lutra	1
Lycaon_pictus	1
Lynx_canadensis	1
Lynx_rufus	1
Macaca_assamensis	5
Macaca_cyclopis	3
Macaca_fascicularis	13
Macaca_mulatta	4
Macaca_nemestrina	4
Macaca_nigra	4
Macaca_silenus	2
Macroderma_gigas	1
Macrotus_californicus	1
Manis_javanica	1
Manis_pentadactyla	1
Marmota_flaviventris	1
Marmota_himalayana	1
Marmota_monax	1
Martes_flavigula	1
Martes_foina	1
Martes_martes	1
Mastacomys_fuscus	1
Megaderma_spasma	1
Megaptera_novaeangliae	1
Meles_meles	1
Mephitis_mephitis	1
Meriones_unguiculatus	1
Mesocricetus_auratus	1
Mesoplodon_densirostris	1
Microcebus_murinus	1
Micromys_minutus	1
Micronycteris_microtis	1
Microtus_agrestis	1
Microtus_californicus	1
Microtus_oregoni	1
Microtus_pennsylvanicus	1
Miniopterus_schreibersii	1
Mirounga_leonina	1
Molossus_molossus	1
Monachus_monachus	1
Monodon_monoceros	1
Mops_condylurus	1
Moschus_berezovskii	1
Muntiacus_crinifrons	1
Muntiacus_gongshanensis	1
Mus_minutoides	1
Mus_musculus	1
Mus_spretus	1
Mustela_erminea	1
Mustela_lutreola	1
Mustela_nivalis	1
Myospalax_psilurus	1
Myotis_daubentonii	1
Myotis_emarginatus	1
Myotis_mystacinus	1
Myotis_nattereri	1
Myotis_nesopolus	1
Myotis_yumanensis	1
Myrmecophaga_tridactyla	1
Neofelis_nebulosa	1
Neotoma_floridana	1
Nomascus_leucogenys	3
Nyctalus_aviator	1
Nyctalus_leisleri	1
Nyctereutes_procyonoides	1
Nycticebus_bengalensis	1
Nycticebus_coucang	1
Ochotona_argentata	15
Ochotona_princeps	15
Ondatra_zibethicus	1
Onychomys_arenicola	1
Onychomys_leucogaster	1
Onychomys_torridus	1
Orcinus_orca	1
Orycteropus_afer	1
Oryctolagus_cuniculus	16
Otocyon_megalotis	1
Ovis_aries	1
Ovis_canadensis	1
Pachyuromys_duprasi	1
Paguma_larvata	1
Pan_paniscus	3
Pan_troglodytes	3
Panthera_leo	1
Panthera_onca	1
Panthera_pardus	1
Panthera_tigris	1
Pantholops_hodgsonii	1
Papio_anubis	2
Papio_hamadryas	3
Peponocephala_electra	1
Peromyscus_eremicus	1
Peromyscus_leucopus	1
Phacochoerus_africanus	1
Phoca_vitulina	1
Phocoena_phocoena	1
Phocoena_sinus	1
Phodopus_roborovskii	1
Phodopus_sungorus	1
Phyllostomus_discolor	1
Phyllostomus_hastatus	1
Pipistrellus_abramus	1
Pipistrellus_nathusii	1
Pipistrellus_pipistrellus	1
Pipistrellus_pygmaeus	1
Platyrrhinus_helleri	1
Plecotus_auritus	1
Pongo_abelii	8
Pongo_pygmaeus	5
Prionailurus_bengalensis	1
Prionailurus_viverrinus	1
Psammomys_obesus	1
Pseudomys_desertor	1
Pseudorca_crassidens	1
Pteromys_volans	1
Pteropus_alecto	1
Pteropus_pselaphon	1
Puma_concolor	1
Rattus_norvegicus	1
Rattus_rattus	1
Rhabdomys_pumilio	1
Rhinolophus_affinis	1
Rhinolophus_clivosus	1
Rhinolophus_ferrumequinum	1
Rhinolophus_hipposideros	1
Rhinolophus_rex	1
Rhinolophus_sinicus	1
Rhinolophus_trifoliatus	1
Rhinopithecus_bieti	1
Rhinopithecus_roxellana	3
Rhinopoma_microphyllum	1
Rhynchocyon_petersi	1
Rhynchomys_soricoides	1
Rhynchonycteris_naso	1
Rousettus_aegyptiacus	1
Rousettus_leschenaultii	1
Rupicapra_rupicapra	1
Saccopteryx_bilineata	1
Saccopteryx_leptura	1
Saguinus_midas	1
Saguinus_oedipus	1
Saimiri_boliviensis	1
Salpingotus_crassicauda	1
Scaptochirus_moschatus	1
Sciurus_carolinensis	1
Sciurus_vulgaris	1
Scotinomys_teguina	1
Scutisorex_somereni	1
Sigmodon_hispidus	1
Sorex_fumeus	1
Sorex_ornatus	1
Spermophilus_citellus	1
Suncus_etruscus	1
Suncus_murinus	1
Sus_scrofa	1
Sylvilagus_floridanus	17
Symphalangus_syndactylus	3
Tadarida_brasiliensis	1
Tadarida_teniotis	1
Talpa_europaea	1
Talpa_occidentalis	1
Tamandua_tetradactyla	1
Tamias_sibiricus	1
Tapirus_indicus	9
Tenrec_ecaudatus	1
Thomomys_bottae	1
Tokudaia_muenninki	1
Trachypithecus_francoisi	2
Trachypithecus_germaini	4
Trachypithecus_shortridgei	4
Trichechus_inunguis	3
Tupaia_tana	1
Tursiops_truncatus	1
Typhlomys_cinereus	1
Urocyon_cinereoargenteus	1
Uromys_caudimaculatus	1
Ursus_americanus	1
Ursus_arctos	1
Ursus_maritimus	1
Vespertilio_murinus	1
Vulpes_corsac	1
Vulpes_ferrilata	1
Vulpes_lagopus	1
Vulpes_vulpes	1
Zalophus_californianus	1
