species	PGA_CN
Mus_spretus	0
Mustela_erminea	1
Mustela_lutreola	1
Mustela_nivalis	1
Myospalax_psilurus	0
Myotis_daubentonii	1
Myotis_emarginatus	1
Myotis_mystacinus	1
Myotis_nattereri	1
Myotis_nesopolus	1
Myotis_yumanensis	1
Myrmecophaga_tridactyla	1
Neofelis_nebulosa	1
Neotoma_floridana	0
Nomascus_leucogenys	3
Nyctalus_aviator	1
Nyctalus_leisleri	1
Nyctereutes_procyonoides	1
Nycticebus_bengalensis	1
Nycticebus_coucang	1
Ochotona_argentata	15
Ochotona_princeps	15
Ondatra_zibethicus	0
Onychomys_arenicola	0
Onychomys_leucogaster	0
Onychomys_torridus	0
Orcinus_orca	1
Orycteropus_afer	1
Oryctolagus_cuniculus	16
Otocyon_megalotis	1
Ovis_aries	1
Ovis_canadensis	1
Pachyuromys_duprasi	0
Paguma_larvata	1
Pan_paniscus	3
Pan_troglodytes	3
Panthera_leo	1
Panthera_onca	1
Panthera_pardus	1
Panthera_tigris	1
Pantholops_hodgsonii	1
Papio_anubis	2
Papio_hamadryas	3
Peponocephala_electra	1
Peromyscus_eremicus	0
Peromyscus_leucopus	0
Phacochoerus_africanus	1
Phoca_vitulina	1
Phocoena_phocoena	1
Phocoena_sinus	1
Phodopus_roborovskii	0
Phodopus_sungorus	0
Phyllostomus_discolor	1
Phyllostomus_hastatus	1
Pipistrellus_abramus	1
Pipistrellus_nathusii	1
Pipistrellus_pipistrellus	1
Pipistrellus_pygmaeus	1
Platyrrhinus_helleri	1
Plecotus_auritus	1
Pongo_abelii	8
Pongo_pygmaeus	5
Prionailurus_bengalensis	1
Prionailurus_viverrinus	1
Psammomys_obesus	0
Pseudomys_desertor	0
Pseudorca_crassidens	1
Pteromys_volans	0
Pteropus_alecto	1
Pteropus_pselaphon	1
Puma_concolor	1
Rattus_norvegicus	0
Rattus_rattus	0
Rhabdomys_pumilio	0
Rhinolophus_affinis	1
Rhinolophus_clivosus	1
Rhinolophus_ferrumequinum	1
Rhinolophus_hipposideros	1
Rhinolophus_rex	1
Rhinolophus_sinicus	1
Rhinolophus_trifoliatus	1
Rhinopithecus_bieti	1
Rhinopithecus_roxellana	3
Rhinopoma_microphyllum	1
Rhynchocyon_petersi	1
Rhynchomys_soricoides	0
Rhynchonycteris_naso	1
Rousettus_aegyptiacus	1
Rousettus_leschenaultii	1
Rupicapra_rupicapra	1
Saccopteryx_bilineata	1
Saccopteryx_leptura	1
Saguinus_midas	1
Saguinus_oedipus	1
Saimiri_boliviensis	1
Salpingotus_crassicauda	0
Scaptochirus_moschatus	1
Sciurus_carolinensis	0
Sciurus_vulgaris	0
Scotinomys_teguina	0
Scutisorex_somereni	1
Sigmodon_hispidus	0
Sorex_fumeus	1
Sorex_ornatus	1
Spermophilus_citellus	0
Suncus_etruscus	1
Suncus_murinus	1
Sus_scrofa	1
Sylvilagus_floridanus	17
Symphalangus_syndactylus	3
Tadarida_brasiliensis	1
Tadarida_teniotis	1
Talpa_europaea	1
Talpa_occidentalis	1
Tamandua_tetradactyla	1
Tamias_sibiricus	0
Tapirus_indicus	9
Tenrec_ecaudatus	1
Thomomys_bottae	0
Tokudaia_muenninki	0
Trachypithecus_francoisi	2
Trachypithecus_germaini	4
Trachypithecus_shortridgei	4
Trichechus_inunguis	3
Tupaia_tana	1
Tursiops_truncatus	1
Typhlomys_cinereus	0
Urocyon_cinereoargenteus	1
Uromys_caudimaculatus	0
Ursus_americanus	1
Ursus_arctos	1
Ursus_maritimus	1
Vespertilio_murinus	1
Vulpes_corsac	1
Vulpes_ferrilata	1
Vulpes_lagopus	1
Vulpes_vulpes	1
Zalophus_californianus	1
