species	assembly
Acomys_percivali	Acomys_percivali__Percivals_spiny_mouse__HLacoPer1__GCA_907169655.1
Acomys_russatus	Acomys_russatus__golden_spiny_mouse__HLacoRus1__GCA_903995435.1
Meriones_psammophilus	Meriones_psammophilus__Rodents__HLmerPsa1__GCA_036365155.1
Meriones_unguiculatus	Meriones_unguiculatus__Mongolian_gerbil__HLmerUng2__GCF_030254825.1
Pachyuromys_duprasi	Pachyuromys_duprasi__fat-tailed_gerbil__HLpacDup1
Psammomys_obesus	Psammomys_obesus__fat_sand_rat__HLpsaObe1__GCA_002215935.2
Apodemus_agrarius	Apodemus_agrarius__Eurasian_field_mouse__HLapoAgr1__GCA_964023405.1
Apodemus_speciosus	Apodemus_speciosus__Large_Japanese_field_mouse__HLapoSpe1__GCA_045298715.1
Apodemus_sylvaticus	Apodemus_sylvaticus__European_woodmouse__HLapoSyl2__GCF_947179515.1
Arvicanthis_niloticus	Arvicanthis_niloticus__African_grass_rat__HLarvNil1__GCA_011762505.1
Arvicanthis_niloticus	Arvicanthis_niloticus__Nile_rat__HLarvNilo2__GCF_011762505.2
Grammomys_surdaster	Grammomys_surdaster__African_woodland_thicket_rat__HLgraSur1__GCA_004785775.1
Mastacomys_fuscus	Mastacomys_fuscus__broad-toothed_rat__HLmasFus1
Micromys_minutus	Micromys_minutus__European_harvest_mouse__HLmicMin1__GCA_963924665.1
Mus_musculus	Mus_musculus__House_mouse__HLmusMusc41__GCA_949316315.1
Mus_spretus	Mus_spretus__Western_wild_mouse__HLmusSpr2__GCA_921997135.2
Mus_musculus	Mus_musculus__house_mouse__mm10__GCF_000001635.20
Mus_musculus	Mus_musculus__house_mouse__mm39__GCF_000001635.27
Mus_musculus	Mus_musculus_molossinus__Japanese_wild_mouse__HLmusMusMol40__GCA_921999095.1
Mus_minutoides	Mus_minutoides__Southern_African_pygmy_mouse__HLmusMin1__GCA_902729475.2
Pseudomys_desertor	Pseudomys_desertor__brown_desert_mouse__HLpseDes1
Rattus_norvegicus	Rattus_norvegicus__Norway_rat__HLratNor8__GCF_036323735.1
Rattus_rattus	Rattus_rattus__black_rat__HLratRat7__GCA_011064425.1
Rattus_norvegicus	Rattus_norvegicus__Norway_rat__rn7__GCF_015227675.2
Rhabdomys_dilectus	Rhabdomys_dilectus__mesic_four-striped_grass_rat__HLrhaDil1__GCA_019844195.1
Rhabdomys_pumilio	Rhabdomys_pumilio__Four-striped_grass_mouse__HLrhaPum1__GCA_030674055.1
Rhynchomys_soricoides	Rhynchomys_soricoides__Mount_Data_shrew_rat__HLrhySor1__GCA_019843965.1
Tokudaia_muenninki	Tokudaia_muenninki__Okinawa_island_spiny_rat__HLtokMue1__GCA_036184385.1
Tokudaia_tokunoshimensis	Tokudaia_tokunoshimensis__Tokunoshima_spiny_rat__HLtokTok1__GCA_036184795.1
Uromys_caudimaculatus	Uromys_caudimaculatus__giant_uromys__HLuroCau1
Cricetomys_ansorgei	Cricetomys_ansorgei__southern_giant_pouched_rat__HLcriAns1
Typhlomys_cinereus	Typhlomys_cinereus__Soft-furred_tree_mouse__HLtypCin1__GCA_023101885.1
Eospalax_fontanierii	Eospalax_fontanierii__Chinese_zokor__HLeosFon1__GCA_035773235.1
Myospalax_psilurus	Myospalax_psilurus__Transbaikal_zokor__HLmyoPsil1__GCA_049190895.1
Eliomys_quercinus	Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1
Eliomys_quercinus	Eliomys_quercinus__garden_dormouse__HLeliQue1B__GCA_051143595.1
Pteromys_volans	Pteromys_volans__Siberian_flying_squirrel__HLpteVola1__GCA_051107445.1
Sciurus_carolinensis	Sciurus_carolinensis__gray_squirrel__HLsciCar1__GCA_902686445.1
Sciurus_vulgaris	Sciurus_vulgaris__Eurasian_red_squirrel__HLsciVul1__GCA_902686455.1
Callospermophilus_lateralis	Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1A__GCA_048772815.1
Callospermophilus_lateralis	Callospermophilus_lateralis__Golden-mantled_ground_squirrel__HLcalLat1B__GCA_048772825.1
Cynomys_gunnisoni	Cynomys_gunnisoni__Gunnisons_prairie_dog__HLcynGun1__GCA_011316645.1
Cynomys_ludovicianus	Cynomys_ludovicianus__Black-tailed_prairie_dog__HLcynLudo1__GCA_052576455.1
Ictidomys_tridecemlineatus	Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4A__GCA_052094955.1
Ictidomys_tridecemlineatus	Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4B__GCA_052094965.1
Marmota_flaviventris	Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2
Marmota_flaviventris	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2A__GCF_047511675.1
Marmota_flaviventris	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1
Marmota_himalayana	Marmota_himalayana__Himalayan_marmot__HLmarHim1__GCA_005280165.1
